,가장 많이 참여한 여가활동 (1순위),가장 만족스런 여가활동 (1순위),응답자 성별,연령,가구 소득,여가활동을 위한 월 평균 지출액,가장 많이 참여한 1순위 여가활동 동반자1,일주일 여가시간
0,"모바일컨텐츠,동영상,VOD시청",71,2,2,5,200000,1,27.0
1,TV시청(IPTV포함),74,1,6,1,30000,1,63.0
2,TV시청(IPTV포함),51,2,5,4,100000,2,51.0
3,TV시청(IPTV포함),74,2,6,3,70000,2,56.0
4,TV시청(IPTV포함),74,1,7,3,150000,2,48.0
5,게임(온라인/모바일/콘솔게임등),59,1,3,3,300000,1,21.0
6,TV시청(IPTV포함),74,1,6,3,50000,2,41.0
7,TV시청(IPTV포함),74,1,6,5,50000,2,50.0
8,TV시청(IPTV포함),84,1,5,2,60000,1,53.0
9,TV시청(IPTV포함),74,1,5,3,80000,2,41.0
10,TV시청(IPTV포함),55,2,6,3,60000,2,58.0
11,"연예공연관람(쇼,콘서트,마술쇼등)",8,2,2,6,20000,3,22.5
12,인터넷검색/1인미디어제작/SNS,59,1,1,5,20000,1,32.0
13,TV시청(IPTV포함),8,2,5,4,200000,2,36.0
14,헬스(보디빌딩)/에어로빅,29,1,2,6,30000,3,92.0
15,음악감상,8,2,1,4,5000,1,34.5
16,"연예공연관람(쇼,콘서트,마술쇼등)",11,2,1,7,30000,3,27.0
17,산책및걷기,11,1,7,6,50000,1,21.0
18,"모바일컨텐츠,동영상,VOD시청",71,2,2,5,200000,1,25.0
19,잡담/통화하기/문자보내기(모바일메신저메시지사용포함),8,2,4,6,100000,2,54.0
20,"원예(화분,화단가꾸기등)",70,2,5,2,0,1,21.0
21,TV시청(IPTV포함),44,1,6,2,150000,2,21.0
22,사이클링/산악자전거,64,1,5,3,250000,1,28.0
23,"배드민턴/줄넘기/맨손,스트레칭체조/훌라후프",31,2,4,6,150000,3,32.0
24,수영,25,1,6,2,200000,1,28.0
25,헬스(보디빌딩)/에어로빅,24,1,5,5,400000,1,21.0
26,게임(온라인/모바일/콘솔게임등),73,2,4,3,300000,1,56.0
27,"스포츠경기간접관람-TV,DMB를통한관람(축구,야구,농구,배구등)",63,1,5,5,150000,1,21.0
28,음악감상,80,2,6,4,100000,1,45.0
29,인터넷검색/1인미디어제작/SNS,86,1,6,7,50000,1,36.0
30,TV시청(IPTV포함),74,2,6,4,70000,1,12.0
31,TV시청(IPTV포함),38,2,6,2,150000,1,21.0
32,잡담/통화하기/문자보내기(모바일메신저메시지사용포함),71,2,4,7,100000,3,27.0
33,홈페이지/블로그관리,57,2,3,6,300000,1,29.0
34,산책및걷기,35,2,4,2,30000,1,35.0
35,등산,55,2,6,7,100000,5,26.0
36,"배드민턴/줄넘기/맨손,스트레칭체조/훌라후프",31,1,7,3,300000,3,21.0
37,TV시청(IPTV포함),8,2,4,4,100000,2,21.0
38,"원예(화분,화단가꾸기등)",70,2,6,3,50000,1,9.0
39,"배드민턴/줄넘기/맨손,스트레칭체조/훌라후프",31,1,7,1,10000,1,23.0
40,"원예(화분,화단가꾸기등)",70,2,4,5,200000,1,14.0
41,음악감상,86,2,3,7,300000,1,24.0
42,"모바일컨텐츠,동영상,VOD시청",8,2,5,7,200000,1,32.0
43,TV시청(IPTV포함),44,2,7,1,20000,1,39.0
44,산책및걷기,8,2,7,3,100000,2,35.0
45,TV시청(IPTV포함),74,2,6,1,10000,1,48.0
46,요리하기/다도,8,2,5,3,80000,1,21.0
47,종교활동,81,2,7,2,30000,2,35.0
48,독서(웹소설포함),8,2,6,7,20000,1,19.0
49,인터넷검색/1인미디어제작/SNS,58,2,2,4,50000,1,41.0
50,TV시청(IPTV포함),29,2,4,4,300000,2,16.0
51,TV시청(IPTV포함),39,2,5,2,200000,1,36.0
52,"스포츠경기간접관람-TV,DMB를통한관람(축구,야구,농구,배구등)",22,1,2,6,200000,1,30.0
53,"모바일컨텐츠,동영상,VOD시청",63,1,6,4,100000,1,32.0
54,"농구,배구,야구,축구,족구",20,1,3,4,500000,5,20.0
55,산책및걷기,71,2,4,4,50000,1,35.0
56,산책및걷기,30,2,3,4,150000,1,18.0
57,잡담/통화하기/문자보내기(모바일메신저메시지사용포함),74,1,4,6,100000,1,21.0
58,골프,64,1,2,2,500000,3,39.0
59,산책및걷기,7,2,2,7,200000,1,23.0
60,홈페이지/블로그관리,52,1,4,7,700000,1,25.0
61,TV시청(IPTV포함),15,2,1,5,100000,2,60.0
62,영화관람,15,2,2,7,500000,4,42.0
63,"모바일컨텐츠,동영상,VOD시청",86,2,2,6,400000,1,36.0
64,라디오/팟캐스트청취,76,2,6,5,200000,1,35.0
65,요가/필라테스/태보,30,2,7,1,50000,1,37.0
66,TV시청(IPTV포함),74,2,5,7,300000,1,28.0
67,"춤/무용(발레,한국무용,현대무용,방송댄스,스트릿댄스,비보잉등)",15,2,3,7,200000,1,21.0
68,헬스(보디빌딩)/에어로빅,29,2,4,2,1000000,1,76.0
69,"모바일컨텐츠,동영상,VOD시청",75,2,1,4,50000,1,16.0
70,만화보기(웹툰포함),66,2,1,4,30000,1,16.0
71,"춤/무용(발레,한국무용,현대무용,방송댄스,스트릿댄스,비보잉등)",55,2,4,7,100000,5,25.0
72,요가/필라테스/태보,30,2,5,4,150000,1,36.0
73,잡담/통화하기/문자보내기(모바일메신저메시지사용포함),86,2,3,7,200000,1,34.0
74,TV시청(IPTV포함),74,2,3,7,50000,2,18.0
75,"춤/무용(발레,한국무용,현대무용,방송댄스,스트릿댄스,비보잉등)",15,2,5,1,150000,1,9.0
76,독서(웹소설포함),15,2,3,6,200000,1,13.0
77,"모바일컨텐츠,동영상,VOD시청",74,1,4,2,500000,1,21.0
78,"배드민턴/줄넘기/맨손,스트레칭체조/훌라후프",86,1,1,4,15000,3,41.0
79,음악감상,77,1,2,4,300000,1,44.0
80,보드게임/퍼즐/큐브맞추기,41,2,3,4,80000,2,12.0
81,게임(온라인/모바일/콘솔게임등),19,1,3,2,600000,1,45.0
82,테마파크가기/놀이공원/동물원/식물원가기,46,1,4,5,100000,2,25.0
83,TV시청(IPTV포함),76,2,3,6,150000,1,20.0
84,인터넷검색/1인미디어제작/SNS,59,1,2,5,500000,1,46.0
85,영화관람,27,1,2,6,80000,3,16.0
86,온라인게임경기관람(e-스포츠경기포함),19,1,2,3,100000,1,18.0
87,낚시,56,1,5,7,1000000,5,26.0
88,게임(온라인/모바일/콘솔게임등),59,1,1,6,100000,1,30.0
89,게임(온라인/모바일/콘솔게임등),59,1,2,3,200000,1,16.0
90,게임(온라인/모바일/콘솔게임등),59,1,3,4,200000,1,16.0
91,게임(온라인/모바일/콘솔게임등),59,1,3,3,1000000,3,40.0
92,친구만남/이성교제/미팅/소개팅,71,1,2,4,50000,3,16.0
93,TV시청(IPTV포함),43,1,3,4,50000,2,27.0
94,게임(온라인/모바일/콘솔게임등),59,1,2,1,300000,1,29.0
95,국내캠핑,41,1,4,6,500000,2,20.0
96,골프,24,1,4,6,1000000,3,45.0
97,영화관람,86,1,2,7,400000,3,50.0
98,온라인게임경기관람(e-스포츠경기포함),71,1,6,7,50000,1,11.0
99,골프,24,1,4,5,500000,3,45.0
100,TV시청(IPTV포함),33,2,2,3,30000,1,34.0
101,산책및걷기,71,1,2,3,300000,1,13.0
102,"격투스포츠경기관람(태권도,유도,합기도,검도,권투등)",18,1,2,6,50000,1,9.0
103,게임(온라인/모바일/콘솔게임등),59,1,2,3,100000,1,35.0
104,영화관람,7,1,3,7,300000,3,23.0
105,TV시청(IPTV포함),55,1,5,7,50000,2,18.0
106,산책및걷기,71,1,3,5,350000,1,39.0
107,산책및걷기,7,2,5,3,50000,3,20.0
108,인터넷검색/1인미디어제작/SNS,71,1,4,4,200000,1,18.0
109,등산,55,1,6,7,200000,3,19.0
110,등산,35,1,6,3,200000,2,15.0
111,TV시청(IPTV포함),64,1,3,4,70000,1,9.0
112,"모바일컨텐츠,동영상,VOD시청",75,2,3,5,100000,2,11.0
113,산책및걷기,32,2,4,4,50000,1,14.0
114,독서(웹소설포함),51,2,4,6,150000,1,14.0
115,TV시청(IPTV포함),66,1,4,7,100000,2,31.0
116,TV시청(IPTV포함),74,1,5,6,300000,1,55.0
117,인터넷검색/1인미디어제작/SNS,71,1,4,3,100000,1,25.0
118,TV시청(IPTV포함),74,1,5,6,20000,2,30.0
119,인터넷검색/1인미디어제작/SNS,74,1,5,6,30000,1,25.0
120,TV시청(IPTV포함),74,1,5,5,10000,2,23.0
121,"모바일컨텐츠,동영상,VOD시청",74,2,6,7,20000,1,25.0
122,인터넷검색/1인미디어제작/SNS,58,1,2,6,100000,1,27.0
123,TV시청(IPTV포함),75,1,5,3,120000,1,60.0
124,TV시청(IPTV포함),71,2,4,1,100000,2,49.0
125,인터넷검색/1인미디어제작/SNS,58,2,3,4,200000,1,46.0
126,반려동물돌보기,52,2,4,3,300000,1,42.0
127,TV시청(IPTV포함),58,1,3,5,200000,2,55.0
128,게임(온라인/모바일/콘솔게임등),59,2,1,7,30000,3,11.0
129,"모바일컨텐츠,동영상,VOD시청",75,2,4,7,70000,2,11.0
130,TV시청(IPTV포함),64,1,4,4,70000,2,9.0
131,"모바일컨텐츠,동영상,VOD시청",75,1,2,5,50000,1,53.0
132,TV시청(IPTV포함),74,1,4,4,100000,1,48.0
133,게임(온라인/모바일/콘솔게임등),59,1,4,2,100000,1,70.0
134,잡담/통화하기/문자보내기(모바일메신저메시지사용포함),84,1,4,7,150000,3,9.0
135,TV시청(IPTV포함),84,2,5,7,2000000,2,42.0
136,자연명승및풍경관람,39,2,5,7,200000,2,21.0
137,산책및걷기,71,1,6,3,100000,1,9.0
138,TV시청(IPTV포함),88,1,5,5,200000,1,55.0
139,TV시청(IPTV포함),74,1,5,4,200000,1,60.0
140,인터넷검색/1인미디어제작/SNS,58,2,3,4,150000,1,49.0
141,영화관람,7,2,3,2,150000,3,18.0
142,잡담/통화하기/문자보내기(모바일메신저메시지사용포함),84,2,3,4,150000,1,49.0
143,TV시청(IPTV포함),74,2,4,7,300000,2,53.0
144,인터넷검색/1인미디어제작/SNS,58,2,2,3,150000,1,60.0
145,TV시청(IPTV포함),58,2,3,4,200000,2,46.0
146,영화관람,86,2,5,7,80000,2,16.0
147,음악감상,63,2,3,4,30000,1,16.0
148,TV시청(IPTV포함),58,1,3,6,250000,2,48.0
149,TV시청(IPTV포함),88,1,5,6,200000,2,53.0
150,TV시청(IPTV포함),63,2,5,6,300000,2,56.0
151,TV시청(IPTV포함),58,1,4,5,200000,2,30.0
152,인터넷검색/1인미디어제작/SNS,58,1,2,4,30000,1,11.0
153,인터넷검색/1인미디어제작/SNS,75,2,2,5,30000,1,13.0
154,산책및걷기,61,1,6,3,50000,2,30.0
155,TV시청(IPTV포함),86,2,7,1,30000,1,25.0
156,TV시청(IPTV포함),64,1,5,7,100000,1,14.0
157,인터넷검색/1인미디어제작/SNS,48,2,5,5,200000,1,23.0
158,인터넷검색/1인미디어제작/SNS,64,2,2,3,100000,1,18.0
159,TV시청(IPTV포함),63,2,7,2,100000,1,31.0
160,산책및걷기,48,2,5,5,100000,1,32.0
161,TV시청(IPTV포함),74,1,5,1,50000,1,70.0
162,TV시청(IPTV포함),58,2,4,1,100000,1,70.0
163,"배드민턴/줄넘기/맨손,스트레칭체조/훌라후프",31,1,2,5,100000,3,16.0
164,TV시청(IPTV포함),74,2,5,4,200000,1,63.0
165,TV시청(IPTV포함),74,1,5,6,200000,2,48.0
166,TV시청(IPTV포함),71,1,5,5,200000,2,46.0
167,TV시청(IPTV포함),74,2,3,4,100000,2,53.0
168,TV시청(IPTV포함),71,2,3,5,300000,2,51.0
169,TV시청(IPTV포함),58,2,3,5,200000,2,51.0
170,TV시청(IPTV포함),58,2,3,4,200000,2,51.0
171,TV시청(IPTV포함),71,2,6,2,100000,1,63.0
172,TV시청(IPTV포함),84,2,4,6,300000,2,60.0
173,인터넷검색/1인미디어제작/SNS,86,1,2,7,100000,1,53.0
174,TV시청(IPTV포함),74,2,4,7,150000,2,46.0
175,TV시청(IPTV포함),74,2,3,6,250000,2,56.0
176,인터넷검색/1인미디어제작/SNS,58,1,4,7,200000,1,55.0
177,TV시청(IPTV포함),58,2,3,5,200000,2,53.0
178,TV시청(IPTV포함),74,2,5,7,300000,2,58.0
179,TV시청(IPTV포함),74,1,4,6,200000,2,48.0
180,TV시청(IPTV포함),55,2,5,3,200000,1,36.0
